State,Rate,Rank
Nebraska,4,1
Utah,4.1,2
Idaho,4.2,3
South Dakota,4.8,4
Vermont,4.8,4
North Dakota,5,6
Alabama,5.6,7
Georgia,5.6,7
Montana,5.6,7
Oklahoma,5.7,10
Arizona,5.9,11
Iowa,6,12
Virginia,6.1,13
Wisconsin,6.2,14
South Carolina,6.3,15
Indiana,6.4,16
New Hampshire,6.5,17
North Carolina,6.5,17
Wyoming,6.6,19
Colorado,6.7,20
Texas,6.8,21
Kansas,6.9,22
Maine,6.9,22
Maryland,6.9,22
Missouri,7,25
Alaska,7.4,26
Arkansas,7.4,26
Florida,7.4,26
Minnesota,7.4,26
Kentucky,7.6,30
Louisiana,7.6,30
Oregon,7.7,32
Mississippi,7.9,33
Connecticut,8.1,34
District of Columbia,8.5,35
Tennessee,8.5,35
Washington,8.5,35
Michigan,8.7,38
Delaware,8.9,39
Ohio,8.9,39
West Virginia,8.9,39
Pennsylvania,10.3,42
New Jersey,10.9,43
Illinois,11,44
Massachusetts,11.3,45
New Mexico,11.3,45
California,11.4,47
Hawaii,12.5,48
New York,12.5,48
Rhode Island,12.8,50
Nevada,13.2,51
